,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村
東村山市,1,5,11,69,21,9,13,25,23,11,22,74,13,164,283,66,43,21,113,694,30,18,19,337,570,179,158,182,295,266,78,45,227,1922,190,25917,481,122,119,19,1636,1078,1341,426,57,30,105,117,836,104,20,0,3,0,0,0,1,0,0,0,0,0
国分寺市,29,25,44,125,60,29,31,113,60,64,88,309,72,232,653,71,52,47,146,412,89,66,109,1270,1472,443,473,398,1530,652,220,192,1125,3011,708,975,16377,835,229,34,702,131,232,382,217,122,174,225,392,65,43,4,15,0,0,0,0,0,0,0,0,0
国立市,15,17,48,99,46,19,23,57,57,54,87,424,64,155,602,56,55,17,102,311,56,34,76,1722,2131,342,408,347,1752,876,408,339,500,1175,1028,383,1831,11962,218,69,389,76,151,295,440,260,195,250,216,95,55,2,11,0,0,0,0,0,0,0,0,0
福生市,0,1,7,11,3,1,3,5,3,6,12,32,6,22,46,1,7,0,19,38,4,4,2,680,582,27,36,1616,111,1253,33,64,51,169,201,116,114,128,10239,5,217,19,35,347,41,27,1535,1607,76,758,241,26,57,0,0,0,0,0,0,0,0,0
狛江市,4,11,14,42,23,11,8,29,26,42,59,1140,69,34,105,19,22,9,32,73,18,20,29,208,49,37,122,12,375,27,1244,683,34,23,65,21,21,32,9,9760,8,11,6,13,238,245,6,6,26,2,2,0,1,0,0,0,0,0,0,0,0,0
東大和市,0,1,1,21,9,3,1,10,4,3,10,24,6,49,84,13,8,1,21,128,14,2,9,344,1372,51,38,436,141,454,30,44,94,1114,227,1147,252,116,210,5,15390,75,153,1774,72,26,192,278,196,212,59,7,11,0,0,0,0,0,0,0,0,0
清瀬市,6,8,10,68,48,17,7,32,19,14,39,79,15,81,113,115,39,14,120,828,42,25,23,101,102,48,62,61,106,56,28,22,80,341,40,1259,84,34,29,11,121,12738,1399,40,20,19,16,21,568,14,4,0,1,0,0,0,0,0,0,0,0,0
東久留米市,1,3,4,70,28,6,5,17,16,13,21,62,22,104,154,76,38,17,109,913,24,21,15,133,160,136,96,76,162,88,33,31,138,1202,64,1425,132,43,34,9,326,1469,22560,166,34,24,34,32,1630,30,6,0,2,0,0,0,0,0,0,0,0,0
武蔵村山市,1,1,4,15,3,1,2,11,3,3,10,26,10,24,63,7,8,6,11,124,14,3,3,553,2546,61,62,777,207,1272,40,40,113,544,276,582,230,136,547,7,1981,70,140,16380,84,41,466,441,175,935,73,10,22,0,0,0,0,0,0,0,0,0
多摩市,21,40,72,214,82,34,62,176,136,108,247,1378,166,204,521,134,127,66,160,320,128,83,176,8407,635,183,355,190,2366,343,1885,3411,255,272,2921,209,343,363,122,278,245,53,90,142,27826,1930,92,162,166,54,17,1,5,0,0,0,0,0,0,0,0,0
稲城市,3,6,15,32,13,8,11,24,40,33,82,342,34,40,144,17,28,8,26,66,23,12,25,1153,161,44,101,44,926,102,690,897,56,70,353,43,102,141,39,126,48,18,20,37,1413,14247,19,34,32,10,6,0,0,0,0,0,0,0,0,0,0,0
羽村市,4,2,6,8,4,2,5,8,6,6,6,36,4,19,54,4,13,3,11,41,10,4,9,748,568,51,53,4318,134,964,39,51,65,157,253,133,147,101,1681,5,306,20,54,448,54,24,12578,1183,58,1184,226,35,98,0,0,0,0,0,0,0,0,0
