,千代田区,中央区,港区,新宿区,文京区,渋谷区,豊島区
千代田区,11691,7915,8608,13462,13902,7379,9470
中央区,1303,26386,5678,6022,5374,3958,4899
港区,1805,7187,38347,9213,7698,9431,7169
新宿区,1193,2082,3173,54933,6314,6792,8701
文京区,797,1121,1414,3748,33114,1369,6490
渋谷区,606,1815,4492,5672,2688,28747,4331
豊島区,281,634,803,3700,3856,1157,36408
